alpha,subset_ratio,repetition,os_time,os_iter,os_beta_mse,os_sigma_mse,inr_time,inr_iter,inr_beta_mse,inr_sigma_mse
1.0,0.05,63,126.2638247013092,1,9.19949771522942e-05,0.0018118974638942648,148.55623364448547,2,9.681133676916281e-05,0.0018645327274273836
1.0,0.05,296,116.66006898880005,1,5.2802953479893564e-05,0.0013389228947371724,156.10380721092224,2,4.925880886643847e-05,0.0012969182551575181
1.0,0.05,485,126.33021187782288,1,5.738687384903015e-05,0.0014856331825113581,168.05219268798828,3,4.9313089871096236e-05,0.0013859930622465047
1.0,0.05,125,135.89300537109375,1,1.5214395438659982e-05,0.0009329360155518908,138.62349820137024,2,1.6846777298111196e-05,0.0009529683045879571
1.0,0.05,359,134.59610605239868,1,0.00026508617942594555,0.0031827630125794014,159.48369812965393,3,0.00024067038406768484,0.002930006976873864
1.0,0.05,422,134.1239767074585,1,0.00011288806804561624,0.0024244641330429936,160.6282787322998,3,0.00010271660986456924,0.0022948137629972675
1.0,0.05,178,135.09168410301208,1,1.2180445674509318e-06,0.0014606112105173946,160.0280261039734,3,7.321254378778778e-07,0.0014370076832157905
1.0,0.05,235,124.32027673721313,1,0.00024019080864414239,0.005138200755199278,141.50085186958313,2,0.000246815457874438,0.0052326170947121055
1.0,0.05,64,121.03623390197754,1,4.488638378620839e-05,0.0021973765572488434,144.39020156860352,2,4.210026891794538e-05,0.0021507901603425887
1.0,0.05,297,113.67373085021973,1,5.101861229998272e-06,0.0009642464032461933,154.5812611579895,2,5.859135918591124e-06,0.0009741895266297767
1.0,0.05,486,128.02030682563782,1,1.0689895857352611e-05,0.001131162477982013,153.70758986473083,2,9.878145330527995e-06,0.0011174192859512101
1.0,0.05,126,131.90520215034485,1,3.173114595436281e-05,0.0011507750081500756,152.71476650238037,2,3.061390247321198e-05,0.0011407419831526806
1.0,0.05,179,130.16084027290344,1,1.9089207416699783e-06,0.0007054175087162735,150.2730360031128,2,1.4289030584632521e-06,0.0007007736969701224
1.0,0.05,360,129.84062314033508,1,0.0003030078249093218,0.004590196160381769,173.4235725402832,3,0.0003236551332212828,0.004835786767601401
1.0,0.05,423,131.58598518371582,1,0.00010694468065534045,0.002054136871498564,175.3665153980255,3,0.00011369361021304066,0.00213185187049703
1.0,0.05,236,129.2018690109253,1,9.59071825402336e-05,0.0018814250059396437,147.26133489608765,2,9.270182523221972e-05,0.0018463808100175868
1.0,0.05,65,128.10681009292603,1,0.0003404412002556605,0.005029456356744078,146.0851800441742,2,0.0003318778741982744,0.004925270652231782
1.0,0.05,298,122.88784313201904,1,0.00014010151469033558,0.0034702177789260676,182.76870226860046,3,0.0001201272710731329,0.0031786374041417615
1.0,0.05,487,122.913165807724,1,0.00030887230941877583,0.005008695916479681,162.6800012588501,2,0.00031646503621401783,0.0050956587675938135
