,seed,n,alpha,M,K,init_beta,init_sigma,os_beta,os_sigma,ts_beta,ts_sigma,ms_beta,ms_sigma,oracle_beta,oracle_sigma
258,8,1000,0.75,72,2,0.0128374363599322,0.2201850199700339,0.0095357006136776,0.1187505488725612,0.0090521214779528,0.1187505488725612,0.0090758143592145,0.1187505488725612,0.0077708021958499,0.1011462239042417
508,8,1000,1.0,72,2,0.0070479316189246,0.17315703290406,0.0073657302607664,0.08667266234891,0.0068454834942432,0.08667266234891,0.0068605637516945,0.08667266234891,0.0060662822585491,0.0871199300745195
508,8,2500,0.25,159,2,0.004473496580145,0.2190949618012009,0.0049842858511117,0.1162106420023508,0.0040303125867056,0.1162106420023508,0.0040609335974869,0.1162106420023508,0.004250098142559,0.1104359008174318
1008,8,2500,0.5,159,2,0.0024198348337643,0.1287263068348588,0.0023915429102021,0.066604870340559,0.002210311437942,0.066604870340559,0.0022110151142798,0.066604870340559,0.0021189029057506,0.0660250325305533
758,8,2500,0.75,159,2,0.0020977488131839,0.1167515116248878,0.0022703197446668,0.0641209699607481,0.002303721914478,0.0641209699607481,0.0023035070178767,0.0641209699607481,0.0023474245629426,0.0579707439110007
1508,8,2500,1.0,159,2,0.0020187296908813,0.0911151412874018,0.001132289566607,0.0533932587448664,0.0011293093165873,0.0533932587448664,0.0011292824646074,0.0533932587448664,0.0011258524729574,0.0527573426609505
1008,8,5000,0.25,293,2,0.0025743588617087,0.138316032913376,0.0018201342236481,0.0780043616667203,0.0020106225175846,0.0780043616667203,0.0020083936520968,0.0780043616667203,0.0021951971175417,0.0741793089087148
2008,8,5000,0.5,293,2,0.0016660358440927,0.0836364809415241,0.0008709847449206,0.0512830836020656,0.000957365388679,0.0512830836020656,0.0009571069394708,0.0512830836020656,0.0010203508395173,0.0508683322386853
1258,8,5000,0.75,293,2,0.0009365162974989,0.0730242233836783,0.0006366673705592,0.0436127483420112,0.0006690525372634,0.0436127483420112,0.0006688589335237,0.0436127483420112,0.0006520584824703,0.0424423981539028
2508,8,5000,1.0,293,2,0.0009011488544187,0.0573037280374766,0.0006249149466648,0.0367451351265082,0.00064357446601,0.0367451351265082,0.0006435209894134,0.0367451351265082,0.0006888907630419,0.0365282582411301
9,9,1000,0.25,72,2,0.0118926472185461,0.5182698377593737,0.0169238648292042,0.310684377354506,0.0098787643178939,0.310684377354506,0.0103686595921125,0.310684377354506,0.0096933212935071,0.1382257119611975
9,9,1000,0.5,72,2,0.0140914648193162,0.2759812362226322,0.0058956156466299,0.1336546275365688,0.0076633676146259,0.1336546275365688,0.0075254887565914,0.1336546275365688,0.0079047291690416,0.0945266697818097
259,9,1000,0.75,72,2,0.0056828348967497,0.2314151211979988,0.0033878063582063,0.1213671311432626,0.0033342308451228,0.1213671311432626,0.0033270252852738,0.1213671311432626,0.0034623529267161,0.0966941718952369
509,9,1000,1.0,72,2,0.0054426286897131,0.16983723400335,0.0036212807848866,0.080704834835809,0.0038578188232825,0.080704834835809,0.0038526963640503,0.080704834835809,0.0039163015134748,0.0721757217535804
509,9,2500,0.25,159,2,0.0030546336019274,0.224882786001973,0.0042031954656248,0.1120384156062527,0.0034350136582263,0.1120384156062527,0.0034585369047239,0.1120384156062527,0.0034095563192887,0.0967825681372562
1009,9,2500,0.5,159,2,0.0032243790411398,0.1434436167153995,0.0029383585524589,0.0794654518423651,0.0029386694285272,0.0794654518423651,0.0029380713207408,0.0794654518423651,0.003178667686436,0.0730748219178289
759,9,2500,0.75,159,2,0.0025626524222236,0.1055786613902891,0.0026659810465498,0.057072305605772,0.0024668549642762,0.057072305605772,0.0024682643376843,0.057072305605772,0.0024631239941631,0.0569523594765086
1509,9,2500,1.0,159,2,0.0023314105350677,0.0722952732280399,0.0022779091712326,0.0451875109892412,0.002195840062971,0.0451875109892412,0.0021960742599273,0.0451875109892412,0.002230802239509,0.0462114970092671
1009,9,5000,0.25,293,2,0.0030756090207399,0.1259996253797151,0.0012525013203201,0.0696736286727769,0.0012375183693724,0.0696736286727769,0.0012369638484984,0.0696736286727769,0.0012404201209745,0.0706151277587925
2009,9,5000,0.5,293,2,0.0018146508793302,0.0803160593094383,0.0015419019468156,0.0519975130887336,0.0015763859861614,0.0519975130887336,0.0015762245643856,0.0519975130887336,0.0015831058479313,0.0516963960352987
1259,9,5000,0.75,293,2,0.0022411050178042,0.0637112884036334,0.0019347159523214,0.0400799896541197,0.0018133260499815,0.0400799896541197,0.0018136934420709,0.0400799896541197,0.0017743263542722,0.0394130996813303
2509,9,5000,1.0,293,2,0.0009849452207277,0.0481837838782999,0.0005800260802324,0.0331699177010323,0.0005748411471777,0.0331699177010323,0.0005748429717999,0.0331699177010323,0.0005746907475439,0.0331699415597447
10,10,1000,0.25,72,2,0.009693549366381,0.4765992283651698,0.0129233364555597,0.2861937220883467,0.0074118593432234,0.2861937220883467,0.0074469330597596,0.2861937220883467,0.0076073051942987,0.1939589711133484
10,10,1000,0.5,72,2,0.0094895803374972,0.2571745120532661,0.0088146565044023,0.1314940832363094,0.0089715206056044,0.1314940832363094,0.0089171434385338,0.1314940832363094,0.0090334497096562,0.1199175931500497
260,10,1000,0.75,72,2,0.0058650563517098,0.1915924024966608,0.0052329394306576,0.1013588412826358,0.0045929961582902,0.1013588412826358,0.0046086290544528,0.1013588412826358,0.0044737456415486,0.1117014027132941
510,10,1000,1.0,72,2,0.0036005807046461,0.1880032243809027,0.0029854318999151,0.1205300133856685,0.0028967718697505,0.1205300133856685,0.0028973388019836,0.1205300133856685,0.002811022329451,0.1132178701173039
510,10,2500,0.25,159,2,0.0063998654979307,0.2239688471908621,0.0077346172933055,0.1174867701816925,0.0067030326805588,0.1174867701816925,0.0067304111083166,0.1174867701816925,0.0061923453458157,0.1035998372980527
1010,10,2500,0.5,159,2,0.0025796342114338,0.1461121323500184,0.0017616841457545,0.0723132238135739,0.0015397092748575,0.0723132238135739,0.0015408384370532,0.0723132238135739,0.0017599907347044,0.0698061474556287
760,10,2500,0.75,159,2,0.0020722541675436,0.1156940914858797,0.0015038440575464,0.0573290015032283,0.0015456091651785,0.0573290015032283,0.0015452420394856,0.0573290015032283,0.0015483211273356,0.0553811296526406
1510,10,2500,1.0,159,2,0.002378772206852,0.0968769292092032,0.0012163131707797,0.058648318785874,0.001222706923496,0.058648318785874,0.001222675693264,0.058648318785874,0.0012270077946377,0.0574855160470708
1010,10,5000,0.25,293,2,0.0025990492309926,0.133296044495112,0.0015020494728749,0.0715342639496041,0.001685882030565,0.0715342639496041,0.0016836097276352,0.0715342639496041,0.001598956567942,0.0718704027609534
2010,10,5000,0.5,293,2,0.001317766497733,0.0909387595853166,0.0011964195520246,0.0508606598306027,0.0011122701164489,0.0508606598306027,0.0011124250338621,0.0508606598306027,0.0011389388673827,0.0483576590086915
1260,10,5000,0.75,293,2,0.000999532198321,0.0739011917352164,0.0008255617643814,0.0427271575385327,0.0007739589872627,0.0427271575385327,0.0007739792117106,0.0427271575385327,0.0007707645161239,0.0412370365610431
